VNUM	NAME	RANK	TYPE	BATTLE_TYPE	LEVEL	SCALE	AI_FLAG	MOUNT_CAPACITY	RACE_FLAG	IMMUNE_FLAG	EMPIRE	FOLDER	ON_CLICK	ST	DX	HT	IQ	DAMAGE_MIN	DAMAGE_MAX	MAX_HP	REGEN_CYCLE	REGEN_PERCENT	GOLD_MIN	GOLD_MAX	EXP	DEF	ATTACK_SPEED	MOVE_SPEED	AGGRESSIVE_HP_PCT	AGGRESSIVE_SIGHT	ATTACK_RANGE	DROP_ITEM	RESURRECTION_VNUM	ENCHANT_CURSE	ENCHANT_SLOW	ENCHANT_POISON	ENCHANT_STUN	ENCHANT_CRITICAL	ENCHANT_PENETRATE	RESIST_SWORD	RESIST_TWOHAND	RESIST_DAGGER	RESIST_BELL	RESIST_FAN	RESIST_BOW	RESIST_CLAW	RESIST_FIRE	RESIST_ELECT	RESIST_MAGIC	RESIST_WIND	RESIST_POISON	RESIST_BLEEDING	DAM_MULTIPLY	SUMMON	DRAIN_SP	MOB_COLOR	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE	SKILL_RANGE
111	M2SF	S_PAWN	MONSTER	TANKER	15	100		0	1		0	bear	0	14	17	34	6	20	53	572	6	7	76	114	440	19	100	100	40	2000	175	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	M2SF	PAWN	MONSTER	POWER	19	100		0	1		0	bear	0	36	14	21	7	20	62	624	6	7	61	92	770	24	100	100	40	2000	175	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	M2SF	S_PAWN	MONSTER	POWER	21	100		0	1		0	bear	0	35	15	23	8	20	66	845	6	12	100	150	1020	26	100	100	40	2000	175	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	M2SF	PAWN	MONSTER	POWER	18	100		0	1		0	tiger	0	18	20	27	7	20	60	585	6	12	59	88	730	22	100	100	50	2000	175	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	M2SF	S_PAWN	MONSTER	POWER	24	100	AGGR	0	1		0	tiger	0	25	17	45	9	20	72	1007	10	22	112	168	1164	29	100	130	50	2000	175	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	M2SF	KNIGHT	MONSTER	MELEE	8	100	AGGR	0	1	CURSE	0	wolf	0	16	16	31	8	20	39	435	6	7	60	91	396	12	100	120	100	2000	175	30028	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	M2SF	S_KNIGHT	MONSTER	MELEE	9	100	AGGR	0	1	CURSE	0	wolf	0	23	24	31	8	20	41	743	6	7	80	121	888	13	100	120	100	2000	175	30069	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	M2SF	KNIGHT	MONSTER	MELEE	11	100	AGGR	0	1	CURSE	0	wolf	0	16	16	32	8	20	45	564	6	7	77	116	540	15	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	M2SF	S_KNIGHT	MONSTER	MELEE	14	100	AGGR	0	1	CURSE	0	wolf	0	24	33	32	8	20	51	1110	6	7	116	175	1368	18	100	120	100	2000	175	30027	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	M2SF	KNIGHT	MONSTER	MELEE	18	100	AGGR	0	1	CURSE	0	wolf	0	17	25	25	8	20	60	936	6	7	116	175	876	22	100	120	100	2000	175	30070	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	M2SF	S_KNIGHT	MONSTER	MELEE	21	100	AGGR	0	1	CURSE	0	wolf	0	33	17	17	8	20	78	1761	6	12	167	250	2040	26	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	M2SF	KNIGHT	MONSTER	MELEE	12	100	AGGR	0	1	CURSE	0	wild_boar	0	35	17	26	9	20	56	610	6	7	83	124	588	16	100	120	100	2000	175	30004	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	M2SF	S_KNIGHT	MONSTER	MELEE	15	100	AGGR	0	1	CURSE	0	wild_boar	0	35	18	26	9	20	53	1192	6	7	124	186	1464	19	100	120	100	2000	175	30003	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	M2SF	KNIGHT	MONSTER	MELEE	17	100	AGGR	0	1	CURSE	0	bear	0	36	18	27	9	20	68	875	6	7	111	166	828	21	100	120	100	2000	175	30010	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	M2SF	S_KNIGHT	MONSTER	TANKER	20	100	AGGR	0	1	CURSE	0	bear	0	36	19	27	9	20	64	1659	6	7	160	240	1944	25	100	120	100	2000	175	30071	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	M2SF	KNIGHT	MONSTER	TANKER	24	100	AGGR	0	1	CURSE	0	bear	0	37	19	28	9	20	85	1342	6	7	150	225	1164	29	100	120	100	2000	175	30053	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	M2SF	S_KNIGHT	MONSTER	TANKER	26	100	AGGR	0	1	CURSE	0	bear	0	37	19	28	9	20	76	2342	4	12	203	304	2520	31	100	120	100	2000	175	30072	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	M2SF	KNIGHT	MONSTER	POWER	24	100	AGGR	0	1	CURSE	0	tiger	0	28	38	19	9	20	79	1342	6	12	150	225	1164	29	100	120	100	2000	175	30038	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	M2SF	S_KNIGHT	MONSTER	POWER	29	100	AGGR	0	1	CURSE	0	tiger	0	39	30	20	10	53	98	2685	9	22	224	337	2808	34	100	120	100	2000	175	30023	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	M2SF	S_KNIGHT	MONSTER	MELEE	9	100		0	1		0	wolf	0	14	8	16	4	33	41	450	6	5	50	100	200	15	80	100	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	M2SF	S_KNIGHT	MONSTER	MELEE	16	100		0	1		0	wolf	0	23	24	12	6	45	55	800	8	10	100	150	400	25	80	130	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	M2SF	S_KNIGHT	MONSTER	MELEE	10	100		0	1		0	wild_boar	0	22	9	13	4	35	43	600	6	5	60	140	240	15	80	100	30	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	M2SF	S_KNIGHT	MONSTER	POWER	21	100		0	1		0	bear	0	35	15	23	8	54	66	1000	8	10	150	200	440	26	100	100	40	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	M2SF	S_KNIGHT	MONSTER	POWER	24	100	AGGR	0	1		0	tiger	0	25	17	45	9	59	72	1200	15	20	150	220	500	29	100	130	50	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	M2SF	PAWN	MONSTER	MELEE	1	100		0	1		0	stray_dog	0	3	6	5	2	24	29	101	6	7	18	27	22	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	M2SF	PAWN	MONSTER	MELEE	3	100		0	1		0	wolf	0	4	9	7	2	28	34	129	6	7	23	34	54	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	M2SF	PAWN	MONSTER	MELEE	4	100		0	1		0	wolf	0	8	5	10	3	30	36	145	6	7	25	38	72	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	M2SF	PAWN	MONSTER	MELEE	6	100		0	1		0	wolf	0	9	12	6	3	30	46	180	6	7	30	45	106	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	M2SF	PAWN	MONSTER	MELEE	9	100		0	1		0	wolf	0	14	8	16	4	40	49	238	6	7	37	56	156	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	M2SF	PAWN	MONSTER	MELEE	13	100		0	1		0	wolf	0	21	21	10	5	48	59	329	6	7	47	70	222	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	M2SF	S_PAWN	MONSTER	MELEE	16	100		0	1		0	wolf	0	23	24	12	6	54	66	491	6	12	80	120	328	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1.0	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	M2SF	PAWN	MONSTER	MELEE	7	100		0	1		0	wild_boar	0	14	7	10	3	36	44	198	6	7	32	49	122	11	80	100	30	2000	175	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	M2SF	S_PAWN	MONSTER	MELEE	10	100		0	1		0	wild_boar	0	22	9	13	4	42	52	311	3	7	56	84	206	14	80	100	30	2000	175	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1.0	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	M2SF	PAWN	MONSTER	POWER	12	100		0	1		0	bear	0	20	10	20	5	47	56	305	6	7	44	67	206	16	100	70	40	2000	175	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	M2SF	S_PAWN	MONSTER	TANKER	15	100		0	1		0	bear	0	14	17	34	6	53	64	458	6	7	76	114	308	19	100	100	40	2000	175	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1.0	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	M2SF	PAWN	MONSTER	POWER	19	100		0	1		0	bear	0	36	14	21	7	60	74	499	6	7	61	92	540	24	100	100	40	2000	175	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	M2SF	S_PAWN	MONSTER	POWER	21	100		0	1		0	bear	0	35	15	23	8	65	79	676	6	12	100	150	714	26	100	100	40	2000	175	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1.0	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	M2SF	PAWN	MONSTER	POWER	18	100		0	1		0	tiger	0	18	20	27	7	59	72	468	6	12	59	88	512	22	100	100	50	2000	175	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1.0	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185	M2SF	S_PAWN	MONSTER	POWER	24	100	AGGR	0	1		0	tiger	0	25	17	45	9	71	86	805	10	22	112	168	814	29	100	130	50	2000	175	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	1.0	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	M2SF	S_KNIGHT	MONSTER	MELEE	30	100		0	1	STUN,SLOW,CURSE,TERROR	0	mountain_dog_god	0	39	20	30	10	52	96	2940	4	12	232	348	4840	35	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
192	M2SF	S_KNIGHT	MONSTER	MELEE	31	100		0	1	STUN,SLOW,CURSE,TERROR	0	wild_boar_god	0	30	20	41	10	68	84	3069	14	17	239	358	5000	37	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
193	M2SF	S_KNIGHT	MONSTER	TANKER	33	100		0	1	STUN,SLOW,CURSE,TERROR	0	bear	0	32	22	43	11	72	88	3385	19	22	253	380	5320	39	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
194	M2SF	S_KNIGHT	MONSTER	POWER	35	100		0	1	STUN,SLOW,CURSE,TERROR	0	tiger	0	23	45	34	11	67	100	3616	24	27	268	402	5640	41	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0
301	M2SF	PAWN	MONSTER	MELEE	18	100		0	8	SLOW	0	bksoldier	0	27	20	13	7	49	60	613	6	5	64	97	730	22	100	120	35	2000	175	30034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	M2SF	PAWN	MONSTER	RANGE	20	100		0	8	SLOW	0	bkarcher	0	22	29	15	7	46	70	506	6	7	128	192	810	25	60	130	35	2000	650	30031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303	M2SF	S_PAWN	MONSTER	MELEE	25	100		0	8	SLOW	0	bkknight	0	35	26	18	9	47	88	1115	8	12	127	190	1696	30	100	120	35	2000	175	30011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	M2SF	S_PAWN	MONSTER	MELEE	25	100	AGGR	0	8	SLOW	0	bkknight	0	35	26	18	9	61	74	1115	8	12	127	190	1696	30	100	120	35	2000	175	30073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
331	M2SF	S_PAWN	MONSTER	MELEE	18	100	AGGR	0	8	SLOW	0	bksoldier	0	27	20	13	7	56	69	1450	12	7	300	450	1116	22	110	120	35	2000	150	30034	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	0	30	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	M2SF	S_PAWN	MONSTER	RANGE	20	100	AGGR	0	8	SLOW	0	bkarcher	0	22	29	15	7	53	80	1622	12	7	324	486	1212	25	70	130	35	2000	650	30031	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	0	30	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
333	M2SF	KNIGHT	MONSTER	MELEE	25	100	AGGR	0	8	SLOW	0	bkknight	0	35	26	18	9	53	99	3207	10	7	384	576	2904	30	110	120	35	2000	150	30011	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	0	30	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	M2SF	KNIGHT	MONSTER	MELEE	25	100	AGGR	0	8	SLOW	0	bkknight	0	35	26	18	9	53	99	3207	10	7	384	576	2904	30	110	120	35	2000	150	30073	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	0	30	0	0	2.0	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
351	M2SF	S_PAWN	MONSTER	MELEE	18	100		0	8	SLOW	0	bksoldier	0	27	20	13	7	59	72	490	6	5	64	97	512	22	100	120	35	2000	175	30034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	M2SF	S_PAWN	MONSTER	RANGE	20	100		0	8	SLOW	0	bkarcher	0	22	29	15	7	55	84	404	6	7	128	192	568	25	60	130	35	2000	650	30031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353	M2SF	KNIGHT	MONSTER	MELEE	25	100		0	8	SLOW	0	bkknight	0	35	26	18	9	56	106	892	8	12	127	190	1188	30	100	120	35	2000	175	30011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	M2SF	KNIGHT	MONSTER	MELEE	25	100		0	8	SLOW	0	bkknight	0	35	26	18	9	73	89	892	8	12	127	190	1188	30	100	120	35	2000	175	30073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391	M2SF	S_KNIGHT	MONSTER	MAGIC	23	100		0	8	SLOW	0	bksecond	0	32	16	24	8	44	82	2076	9	17	199	298	5208	28	100	150	100	2000	175	30018	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
392	M2SF	S_KNIGHT	MONSTER	MAGIC	26	100		0	8	SLOW	0	bkthird	0	36	18	27	9	48	89	2453	14	22	223	334	5880	31	100	150	100	2000	175	30017	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
393	M2SF	S_KNIGHT	MONSTER	MAGIC	28	100		0	8	SLOW	0	bkfourth	0	38	19	29	10	51	94	2692	19	27	239	358	6328	33	100	150	100	2000	175	30035	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
394	M2SF	S_KNIGHT	MONSTER	MAGIC	31	100		0	8	SLOW	0	bkboss	0	42	21	31	10	55	101	3069	19	32	262	393	7000	37	100	150	100	2000	175	30073	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
395	M2SF	S_KNIGHT	MONSTER	MAGIC	23	100		0	8	SLOW	0	bksecond	0	32	16	24	8	71	86	392	9	17	199	298	3646	28	100	150	100	2000	175	30018	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
396	M2SF	S_KNIGHT	MONSTER	MAGIC	26	100		0	8	SLOW	0	bkthird	0	36	18	27	9	66	101	324	14	22	223	334	4116	31	100	150	100	2000	175	30017	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
397	M2SF	S_KNIGHT	MONSTER	MAGIC	28	100		0	8	SLOW	0	bkfourth	0	38	19	29	10	68	127	714	19	27	239	358	4430	33	100	150	100	2000	175	30035	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
